t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
32,0.36728007044556465,0.20898756543965966,30,1.6666666666666667,24,0.0628495173800731,0.024449644369072397,1.81885982036232,0,0,0,0.1512899647089634,0.009111315162920573
33,0.37546515102424677,0.20907148500119377,30,1.6666666666666667,24,0.05563499468806848,0.02524771868506003,1.797243579263548,0,0,0,0.1512899647089634,0.009111315162920573
34,0.3852339803665676,0.2091532728133112,30,1.6666666666666667,24,0.04879182305157136,0.026103631291137592,1.776172030668973,0,0,0,0.1512899647089634,0.009111315162920573
35,0.3890913319194448,0.20923292443591018,30,1.6666666666666667,23,0.04481145976492823,0.02693922303697582,1.76955957848748,0,1,0,0.1512899647089634,0.009111315162920573
36,0.3950880920825732,0.20931043549163264,30,1.6666666666666667,24,0.04185064125293016,0.027740275851868054,1.7911149117231502,1,0,0,0.1512899647089634,0.009111315162920573
37,0.40139130653582994,0.2093858016660749,30,1.6666666666666667,24,0.036892076277416315,0.0284896199156478,1.8026386409949942,0,0,0,0.1512899647089634,0.009111315162920573
38,0.40780622589332,0.23098469019138856,29,1.7241379310344827,25,0.06332555253107448,0.028337789049493623,1.8111228779400532,1,0,1,0.1512899647089634,0.009111315162920573
39,0.40961561047298156,0.23101341583279472,29,1.7241379310344827,25,0.05608653720733231,0.02829228782336219,1.7889975821404553,0,0,0,0.1512899647089634,0.009111315162920573
40,0.41093442886190457,0.23103983311476514,29,1.7241379310344827,25,0.0513664781735313,0.027946776518143635,1.7700791317661608,0,0,0,0.1512899647089634,0.009111315162920573
41,0.41628588516796194,0.23106393860203472,29,1.7241379310344827,25,0.04518456293177017,0.02781383859577176,1.7490551714055937,0,0,0,0.1512899647089634,0.009111315162920573
42,0.4253566675808181,0.23108572892416415,29,1.7241379310344827,25,0.039806139980837506,0.027881358197829026,1.760842009223401,0,0,0,0.1512899647089634,0.009111315162920573
43,0.4366906208556978,0.2311052007757162,29,1.7241379310344827,25,0.035944210105839126,0.027944282054832653,1.8057852699896773,0,0,0,0.1512899647089634,0.009111315162920573
44,0.4406051951727394,0.22616172324084388,28,1.7857142857142858,26,0.04235227349970741,0.027751590182440843,1.8495754220444551,1,0,1,0.1512899647089634,0.009111315162920573
45,0.44891861317131926,0.2262132017007838,28,1.7857142857142858,26,0.03728227502731816,0.027836887397417628,1.845492408474864,0,0,0,0.1512899647089634,0.009111315162920573
46,0.45591880338719176,0.22626238306573523,28,1.7857142857142858,26,0.03796228862337785,0.027427324028483392,1.8463696557678815,0,0,0,0.1512899647089634,0.009111315162920573
47,0.45841471451337257,0.22630926377551497,28,1.7857142857142858,26,0.033884090931692895,0.027289050643965522,1.844274666504407,0,0,0,0.1512899647089634,0.009111315162920573
48,0.4651457870900923,0.22635384033407172,28,1.7857142857142858,26,0.03018417443206342,0.027399439253106443,1.8423186636182813,0,0,0,0.1512899647089634,0.009111315162920573
49,0.46778164436210473,0.22639610930965698,28,1.7857142857142858,26,0.030206237072234368,0.027171988225382745,1.842529861462623,0,0,0,0.1512899647089634,0.009111315162920573
50,0.4687683614884915,0.2264360673349945,28,1.7857142857142858,27,0.030561184740800936,0.027070730127285243,1.8661413002589426,1,0,0,0.1512899647089634,0.009111315162920573
51,0.4707775480270249,0.22647371110744652,29,1.7241379310344827,26,0.0332408958174895,0.027076447223425962,1.83204797955134,0,1,0,0.1512899647089634,0.009111315162920573
52,0.47297399829243575,0.22756956622925567,28,1.7857142857142858,27,0.02385159051038183,0.027609523541037736,1.864888535851864,1,0,1,0.1512899647089634,0.009111315162920573
53,0.47619504307334565,0.22761680489219813,28,1.7857142857142858,26,0.024809582143942487,0.028080080219941395,1.7478189354455917,0,1,0,0.1512899647089634,0.009111315162920573
54,0.47995379398307586,0.22766170589561288,28,1.7857142857142858,26,0.02189340889191099,0.028740251516783562,1.7290859349545664,0,0,0,0.1512899647089634,0.009111315162920573
55,0.481970798231075,0.22770426602196062,28,1.7857142857142858,26,0.019290568175524644,0.029582503789465774,1.7107867581198795,0,0,0,0.1512899647089634,0.009111315162920573
56,0.491932605083243,0.2277444821196315,28,1.7857142857142858,25,0.02094263848433493,0.030269690623680918,1.7064748960015244,0,1,0,0.1512899647089634,0.009111315162920573
57,0.4958781167756172,0.2374021958228327,26,1.9230769230769231,27,0.08645877038475394,0.02968763538003108,1.8248072469140453,2,0,2,0.1512899647089634,0.009111315162920573
58,0.5001537713928831,0.2374833671349537,26,1.9230769230769231,27,0.0800727790861579,0.029048092880818374,1.8072426559640895,1,1,0,0.1512899647089634,0.009111315162920573
59,0.5070160075016215,0.23756226764430732,26,1.9230769230769231,27,0.07073836805158862,0.028644388496735694,1.783592262215249,0,0,0,0.1512899647089634,0.009111315162920573
60,0.5123415565120775,0.2376388934856272,26,1.9230769230769231,27,0.0649392630131248,0.028100789830270725,1.778575488846097,0,0,0,0.1512899647089634,0.009111315162920573
61,0.5147643284855156,0.23771324085443485,27,1.8518518518518519,26,0.06491556994368704,0.02765325920026658,1.740658290244879,0,1,0,0.1512899647089634,0.009111315162920573
62,0.5145667341689437,0.25472040539032625,26,1.9230769230769231,27,0.10122807384580514,0.026559516934116872,1.7525185555164828,1,0,1,0.1512899647089634,0.009111315162920573
63,0.5203587206160677,0.3023379405115022,25,2.0,28,0.1415224921784792,0.02551252308936188,1.7999997787138375,1,0,1,0.1512899647089634,0.009111315162920573
64,0.5258020777764884,0.3065150967063927,24,2.0833333333333335,29,0.13775666985419585,0.0237753164710184,1.82196871446758,1,0,1,0.1512899647089634,0.009111315162920573
65,0.5282704713136654,0.3065669990568729,25,2.0,28,0.13701079136758013,0.021687212199348077,1.7519425092368448,0,1,0,0.1512899647089634,0.009111315162920573
66,0.5383617602535352,0.3066161911882376,25,2.0,28,0.12075112940973488,0.020069713866179898,1.7387527034580634,0,0,0,0.1512899647089634,0.009111315162920573
67,0.5408623853408735,0.30054752006395413,24,2.0833333333333335,29,0.11285270809313869,0.018549085509345243,1.7719381442150506,1,0,1,0.1512899647089634,0.009111315162920573
68,0.5460961669152189,0.30058044000189715,24,2.0833333333333335,29,0.09952345840149926,0.017416651539130953,1.7293839645602747,0,0,0,0.1512899647089634,0.009111315162920573
69,0.5493668333219641,0.32851933717167947,24,2.0833333333333335,29,0.18676146742962998,0.01658058412503327,1.7848092975973098,1,1,1,0.1512899647089634,0.009111315162920573
70,0.5518288816523141,0.32848412736531274,24,2.0833333333333335,29,0.16547579318618463,0.015784227200942,1.7533497887663594,0,0,0,0.1512899647089634,0.009111315162920573
71,0.5568041943465228,0.34385021580784425,23,2.1739130434782608,32,0.2064096028767904,0.014850451129253109,1.8653939963670607,3,0,1,0.1512899647089634,0.009111315162920573
72,0.5598256446935322,0.3438027160494073,23,2.1739130434782608,32,0.18176519707713498,0.014242939319471688,1.8472202942270208,0,0,0,0.1512899647089634,0.009111315162920573
73,0.5582940991809433,0.34375209917318106,23,2.1739130434782608,33,0.16144751354409909,0.013929327054784257,1.8409893901120142,1,0,0,0.1512899647089634,0.009111315162920573
74,0.5588429420254156,0.34369836491299927,23,2.1739130434782608,33,0.143905966223971,0.013580482194194216,1.843934241223549,0,0,0,0.1512899647089634,0.009111315162920573
75,0.5537833057877777,0.34364151308757873,24,2.0833333333333335,32,0.14685399004229527,0.01326103802181549,1.824305390142252,0,1,0,0.1512899647089634,0.009111315162920573
76,0.5590275063771499,0.34358154360057375,24,2.0833333333333335,32,0.13066811550895316,0.012969245268025566,1.8605456163930278,0,0,0,0.1512899647089634,0.009111315162920573
77,0.562174247213793,0.34351845644062734,24,2.0833333333333335,32,0.11498358918453665,0.012977895374009351,1.8495987138264638,0,0,0,0.1512899647089634,0.009111315162920573
78,0.5639341365094107,0.34345225168141874,25,2.0,31,0.10853017128567266,0.01294110511565967,1.84357452300821,0,1,0,0.1512899647089634,0.009111315162920573
79,0.5685873421523738,0.34338292948170757,25,2.0,31,0.0957390111197699,0.013018396819908589,1.8337857218494669,0,0,0,0.1512899647089634,0.009111315162920573
80,0.5666853874843429,0.3433104900853746,26,1.9230769230769231,30,0.103564771820974,0.013357544398840031,1.833395599475788,0,1,0,0.1512899647089634,0.009111315162920573
81,0.5648688955749516,0.34323493382145936,26,1.9230769230769231,30,0.09426039153680595,0.013415802710114737,1.7939987872094867,0,0,0,0.1512899647089634,0.009111315162920573
82,0.5640071445143764,0.3431562611041936,26,1.9230769230769231,30,0.0829370207343528,0.013680294183997903,1.801844126656164,0,0,0,0.1512899647089634,0.009111315162920573
83,0.5601781960717669,0.34307447243303246,26,1.9230769230769231,30,0.07373291291954157,0.01412886276941572,1.7793011834133892,0,0,0,0.1512899647089634,0.009111315162920573
84,0.561373126964741,0.34777306603937624,25,2.0,31,0.06453918566264934,0.014608151836286746,1.8615195881438376,1,0,1,0.1512899647089634,0.009111315162920573
85,0.5615312944375969,0.3477066747219418,25,2.0,30,0.060846922615061326,0.015142026633890394,1.7746052111287234,0,1,0,0.1512899647089634,0.009111315162920573
86,0.5620343759136346,0.3476371204215514,25,2.0,30,0.053849926835583956,0.01585424546171514,1.7368827492711154,0,0,0,0.1512899647089634,0.009111315162920573
87,0.5641229233559861,0.34756440364866015,25,2.0,30,0.04840034956177882,0.0165489020927012,1.7644698046143912,0,0,0,0.1512899647089634,0.009111315162920573
88,0.5639540396024596,0.3474885249991031,25,2.0,30,0.0426298336012573,0.017435460548736553,1.760150096318747,0,0,0,0.1512899647089634,0.009111315162920573
89,0.5644998932065538,0.3474094851541168,25,2.0,30,0.037613471803421596,0.018461912683045655,1.7084972302005477,0,0,0,0.1512899647089634,0.009111315162920573
90,0.567284929966759,0.34732728488035663,26,1.9230769230769231,29,0.04347116217999067,0.01907570720244093,1.6932795576468656,0,1,0,0.1512899647089634,0.009111315162920573
91,0.5693499042606139,0.35736757655736684,25,2.0,30,0.10047064663595733,0.018528926225738408,1.7506800332357277,1,0,1,0.1512899647089634,0.009111315162920573
92,0.5698053056225771,0.36386188680404774,24,2.0833333333333335,30,0.41479607959215875,0.01826406255623298,1.9586758816959102,1,1,1,0.1512899647089634,0.009111315162920573
